"","e_code","response_time","total_damage_extent"
"110439","E31000046",5,2
"103978","E31000041",10,1
"172458","E31000020",7,5
"110692","E31000046",7,4
"83050","E31000046",6,1
"152179","E31000035",6,1
"156799","E31000042",8,2
"152003","E31000035",8,3
"135939","E31000046",4,4
"44285","E31000033",6,2
"87220","E31000046",5,2
"114463","E31000046",6,6
"858","E31000002",5,4
"140941","E31000002",7,2
"149430","E31000025",8,2
"30243","E31000046",6,2
"113327","E31000046",8,2
"119162","E31000014",5,2
"141178","E31000003",9,3
"92474","E31000013",9,3
"39800","E31000022",5,6
"161743","E31000046",7,3
"40493","E31000023",5,2
"11732","E31000027",6,1
"130312","E31000041",8,3
"145095","E31000015",5,1
"25267","E31000046",7,2
"96313","E31000022",7,2
"160094","E31000045",9,3
"59388","E31000046",7,2
"48275","E31000041",10,2
"74432","E31000038",7,2
"46416","E31000040",6,2
"38966","E31000020",6,2
"32640","E31000006",8,2
"164345","E31000046",4,6
"8737","E31000022",5,2
"148854","E31000024",9,3
"81085","E31000044",7,2
"48045","E31000040",8,2
"149516","E31000026",3,2
"77141","E31000041",6,7
"56749","E31000046",10,4
"20477","E31000043",4,2
"107613","E31000044",8,2
"130807","E31000042",10,1
"76475","E31000040",6,6
"4452","E31000012",9,2
"76870","E31000041",7,2
"175160","E31000028",4,3
"86577","E31000046",6,2
"35227","E31000013",6,5
"110256","E31000046",6,2
"44761","E31000035",10,2
"57938","E31000046",8,5
"46222","E31000040",7,2
"1713","E31000005",10,5
"87010","E31000046",6,3
"152624","E31000037",9,2
"105468","E31000042",7,3
"75572","E31000040",8,2
"30213","E31000046",6,2
"123300","E31000023",5,2
"165627","E31000046",3,3
"24671","E31000046",6,2
"105905","E31000043",8,2
"55605","E31000046",6,6
"145504","E31000016",7,2
"26537","E31000046",5,4
"164763","E31000046",9,1
"126473","E31000034",5,2
"148754","E31000023",6,2
"55839","E31000046",7,1
"11471","E31000026",6,2
"46819","E31000040",7,2
"87420","E31000046",6,3
"161472","E31000046",7,4
"124706","E31000027",8,2
"170952","E31000017",6,1
"50871","E31000043",4,6
"106061","E31000043",4,4
"110375","E31000046",7,2
"130411","E31000041",7,4
"96730","E31000023",6,2
"14286","E31000034",7,5
"114675","E31000046",10,2
"116653","E31000006",6,2
"102896","E31000040",6,4
"91156","E31000010",10,2
"173071","E31000022",9,1
"41795","E31000026",8,1
"136982","E31000046",9,6
"51159","E31000044",10,2
"67724","E31000019",9,5
"94646","E31000017",6,3
"185479","E31000046",8,3
"148119","E31000023",8,6
"179183","E31000040",8,1
"29646","E31000046",6,3
"118302","E31000011",6,3
"126552","E31000034",10,1
"96017","E31000020",7,4
"187447","E31000046",8,1
"14584","E31000035",8,2
"53648","E31000045",9,2
"187383","E31000046",8,3
"43690","E31000031",5,2
"186430","E31000046",6,1
"89970","E31000005",5,5
"22317","E31000044",5,3
"129777","E31000041",6,1
"170701","E31000015",8,2
"105561","E31000042",4,5
"75041","E31000040",5,6
"58090","E31000046",7,2
"110654","E31000046",10,1
"76833","E31000040",3,4
"60481","E31000046",5,3
"70211","E31000024",8,2
"142461","E31000009",9,2
"20946","E31000043",7,6
"28631","E31000046",5,1
"93306","E31000015",6,3
"12367","E31000029",9,2
"169991","E31000014",5,2
"48405","E31000041",10,6
"121192","E31000018",9,1
"167677","E31000007",5,4
"34547","E31000011",7,4
"70034","E31000023",5,6
"100341","E31000033",6,2
"18602","E31000041",7,2
"72371","E31000031",4,4
"111706","E31000046",8,3
"94351","E31000017",10,2
"53761","E31000045",9,2
"13901","E31000033",10,2
"56567","E31000046",9,1
"8893","E31000022",6,2
"187147","E31000046",8,2
"101894","E31000040",7,1
"132983","E31000044",7,2
"14741","E31000035",8,6
"17746","E31000040",5,7
"83767","E31000046",8,5
"32841","E31000006",5,6
"158747","E31000044",6,2
"133558","E31000044",6,6
"50086","E31000042",5,3
"188584","E31000046",6,3
"76751","E31000040",5,5
"155476","E31000041",10,5
"121923","E31000020",10,6
"9924","E31000023",6,3
"123942","E31000024",5,2
"158296","E31000044",8,4
"50820","E31000043",6,4
"152656","E31000037",8,2
"140123","E31000046",10,7
"139826","E31000046",8,3
"36120","E31000015",7,2
"30945","E31000001",10,3
"94788","E31000017",5,2
"130169","E31000041",8,1
"177967","E31000038",6,2
"80796","E31000044",5,5
"50182","E31000042",6,2
"177763","E31000037",7,2
"145213","E31000015",8,2
"85588","E31000046",6,2
"58423","E31000046",8,2
"132521","E31000044",5,2
"93384","E31000015",9,3
"57019","E31000046",5,2
"65715","E31000015",6,2
"82385","E31000045",7,2
"3581","E31000011",5,2
"183516","E31000044",10,2
"48176","E31000040",10,6
"121317","E31000018",5,7
"105999","E31000043",4,3
"81386","E31000045",5,2
"63137","E31000009",9,2
"94498","E31000017",8,2
"83627","E31000046",8,2
"154592","E31000040",7,5
"12616","E31000030",7,2
"73953","E31000036",5,3
"166712","E31000003",3,5
"152548","E31000037",5,2
"126671","E31000035",4,1
"94706","E31000017",8,3
"111351","E31000046",7,2
"120863","E31000017",4,3
"144247","E31000014",7,1
"93725","E31000015",8,3
"17218","E31000040",7,4
"60816","E31000001",6,2
"11768","E31000027",9,2
"131229","E31000042",7,2
"124990","E31000028",7,5
"148779","E31000023",8,7
"41439","E31000024",5,5
"83183","E31000046",7,5
"151898","E31000035",5,2
"110817","E31000046",8,1
"189999","E31000046",7,2
"71887","E31000030",8,2
"175923","E31000030",8,5
"177907","E31000038",7,2
"87593","E31000046",8,2
"142346","E31000008",7,2
"173917","E31000023",4,6
"82043","E31000045",5,2
"179063","E31000040",7,5
"3690","E31000011",9,5
"139232","E31000046",7,3
"55217","E31000046",7,2
"7254","E31000018",8,5
"25773","E31000046",7,1
"7105","E31000017",6,6
"29373","E31000046",5,5
"16331","E31000040",7,2
"144401","E31000014",6,2
"25055","E31000046",8,2
"126246","E31000033",10,3
"142516","E31000009",6,9
"112080","E31000046",7,2
"27113","E31000046",4,4
"151572","E31000033",9,3
"122140","E31000020",9,8
"126495","E31000034",10,2
"92057","E31000011",8,5
"91266","E31000010",7,2
"66449","E31000017",6,6
"128030","E31000040",7,2
"122768","E31000023",9,2
"64252","E31000011",7,6
"32113","E31000004",9,2
"14599","E31000035",5,1
"172268","E31000019",6,6
"93895","E31000015",10,2
"68487","E31000020",6,2
"9131","E31000022",9,6
"77915","E31000041",8,1
"18939","E31000041",6,4
"63532","E31000010",6,5
"188830","E31000046",5,5
"130008","E31000041",8,5
"188829","E31000046",5,2
"27250","E31000046",5,1
"61926","E31000004",7,3
"145723","E31000017",8,2
"18093","E31000041",6,2
"28193","E31000046",3,2
"112304","E31000046",6,2
"61272","E31000002",8,7
"156245","E31000041",7,2
"57266","E31000046",7,2
"94421","E31000017",9,2
"151643","E31000033",7,4
"123163","E31000023",8,7
"58618","E31000046",6,3
"65169","E31000014",5,2
"131431","E31000043",9,3
"70564","E31000025",9,2
"132582","E31000044",2,5
"181833","E31000043",6,2
"57124","E31000046",9,3
"68069","E31000020",7,2
"60154","E31000046",7,2
"15817","E31000040",7,4
"45804","E31000038",5,2
"110362","E31000046",7,2
"111590","E31000046",5,1
"122113","E31000020",7,6
"42242","E31000027",8,2
"50016","E31000042",8,1
"72805","E31000033",10,2
"133471","E31000044",10,2
"170236","E31000015",7,2
"8833","E31000022",9,5
"80607","E31000044",6,2
"101873","E31000038",9,3
"81658","E31000045",6,5
"169405","E31000013",7,5
"33861","E31000010",7,3
"12417","E31000030",10,2
"65626","E31000015",9,2
"190182","E31000046",6,2
"132063","E31000044",5,3
"190036","E31000046",5,4
"162627","E31000046",5,2
"152445","E31000036",7,2
"142210","E31000007",5,2
"49434","E31000041",7,2
"18717","E31000041",7,2
"77918","E31000041",8,4
"168566","E31000011",7,1
"71833","E31000030",8,1
"90897","E31000009",9,3
"169315","E31000012",6,2
"59761","E31000046",8,1
"141727","E31000005",5,5
"168823","E31000011",9,5
"67304","E31000018",9,1
"135081","E31000046",9,2
"69884","E31000023",9,4
"147107","E31000020",6,5
"97400","E31000023",9,5
"94548","E31000017",8,2
"172325","E31000020",8,2
"12663","E31000030",8,6
"61449","E31000003",7,2
"92284","E31000012",9,6
"163255","E31000046",6,3
"47705","E31000040",6,2
"76988","E31000041",5,2
"173005","E31000022",6,2
"22919","E31000044",10,2
"97490","E31000023",6,5
"163235","E31000046",5,2
"79730","E31000044",5,2
"94114","E31000016",9,3
"147648","E31000022",9,4
"26067","E31000046",6,2
"105159","E31000041",7,5
"79834","E31000044",7,4
"176966","E31000035",7,5
"103849","E31000040",8,4
"127402","E31000037",8,2
"4375","E31000012",6,5
"104896","E31000041",5,5
"74106","E31000037",9,2
"18242","E31000041",8,5
"176864","E31000034",7,3
"111842","E31000046",4,1
"2375","E31000007",5,7
"46619","E31000040",8,4
"47115","E31000040",8,2
"188304","E31000046",5,1
"56464","E31000046",4,2
"21513","E31000044",9,2
"84810","E31000046",4,4
"21232","E31000044",10,2
"186967","E31000046",7,1
"98833","E31000028",8,9
"21521","E31000044",7,2
"45787","E31000038",8,6
"187841","E31000046",5,2
"79353","E31000043",3,8
"173023","E31000022",5,2
"64432","E31000012",6,2
"85213","E31000046",5,5
"6230","E31000016",9,2
"100116","E31000032",6,2
"77123","E31000041",5,2
"136189","E31000046",9,2
"22398","E31000044",9,5
"145646","E31000017",9,1
"100440","E31000033",8,2
"151411","E31000033",6,2
"52952","E31000044",8,4
"139214","E31000046",6,2
"121398","E31000019",9,1
"146495","E31000018",9,2
"170429","E31000015",8,2
"179409","E31000040",6,5
"105449","E31000042",9,3
"66860","E31000017",5,2
"156595","E31000042",10,3
"26944","E31000046",8,4
"19025","E31000041",7,2
"173754","E31000023",7,2
"9183","E31000022",4,2
"8738","E31000022",9,1
"33152","E31000008",10,3
"181018","E31000041",6,3
"56335","E31000046",5,2
"168475","E31000011",9,2
"179276","E31000040",8,1
"41687","E31000025",8,3
"64075","E31000011",6,5
"42858","E31000030",5,2
"86353","E31000046",7,4
"66968","E31000017",7,2
"132124","E31000044",7,2
"55248","E31000046",8,2
"129866","E31000041",7,1
"34428","E31000011",7,4
"81341","E31000045",6,3
"98629","E31000027",7,4
"49239","E31000041",6,1
"30148","E31000046",6,2
"10367","E31000023",9,3
"82931","E31000046",4,2
"185366","E31000046",8,2
"61957","E31000004",6,2
"13715","E31000033",6,5
"175237","E31000028",8,2
"54694","E31000046",7,1
"11740","E31000027",8,2
"120941","E31000017",8,2
"167391","E31000006",7,4
"101390","E31000037",9,1
"10692","E31000024",6,2
"62794","E31000008",7,1
"124617","E31000027",8,1
"106792","E31000044",8,2
"65611","E31000015",8,4
"176249","E31000032",9,5
"12176","E31000028",9,4
"101070","E31000035",5,2
"101049","E31000035",9,6
"85901","E31000046",6,2
"187267","E31000046",8,4
"65130","E31000014",6,4
"5591","E31000015",8,1
"11091","E31000025",8,6
"82513","E31000045",8,2
"66446","E31000017",4,2
"188013","E31000046",7,2
"125664","E31000030",6,5
"56664","E31000046",8,2
"166954","E31000004",6,1
"72859","E31000033",6,2
"116260","E31000004",7,2
"121748","E31000019",9,2
"116315","E31000004",6,2
"38643","E31000020",5,7
"40177","E31000023",8,2
"182560","E31000044",8,2
"107379","E31000044",6,2
"106094","E31000043",6,3
"103272","E31000040",8,2
"115635","E31000002",6,2
"87908","E31000046",6,1
"23578","E31000045",5,2
"176535","E31000033",4,2
"49274","E31000041",5,5
"15126","E31000037",9,2
"174377","E31000024",10,2
"100491","E31000033",9,3
"175832","E31000030",5,2
"87524","E31000046",6,2
"129610","E31000040",5,6
"59238","E31000046",9,2
"58354","E31000046",8,2
"71630","E31000029",9,5
"109498","E31000046",7,2
"80018","E31000044",9,2
"166019","E31000001",8,7
"174904","E31000026",10,4
"52786","E31000044",9,2
"86062","E31000046",5,2
"57960","E31000046",10,2
"85976","E31000046",5,4
"28034","E31000046",6,2
"110001","E31000046",8,1
"186012","E31000046",6,3
"158587","E31000044",7,5
"37421","E31000017",6,2
"146513","E31000018",7,2
"105725","E31000042",7,3
"43662","E31000031",6,2
"61349","E31000002",4,2
"125581","E31000030",4,2
"47395","E31000040",8,2
"125326","E31000030",7,1
"107809","E31000044",6,2
"155066","E31000040",7,2
"189707","E31000046",8,1
"124450","E31000026",6,3
"166269","E31000002",2,3
"180401","E31000041",6,4
"24363","E31000045",7,2
"132698","E31000044",7,2
"37669","E31000017",7,4
"24853","E31000046",9,6
"80006","E31000044",9,2
"73839","E31000035",9,6
"98825","E31000028",5,2
"76000","E31000040",10,2
"164576","E31000046",4,2
"44955","E31000035",9,2
"129334","E31000040",4,3
"651","E31000002",7,1
"120079","E31000015",6,6
"159241","E31000044",7,2
"80380","E31000044",5,3
"165484","E31000046",10,2
"132924","E31000044",6,2
"94539","E31000017",3,2
"90422","E31000007",6,6
"51979","E31000044",5,3
"113554","E31000046",10,2
"4018","E31000011",10,4
"1172","E31000003",7,3
"118932","E31000013",6,5
"11826","E31000027",8,2
